row_id,source,date,test_name,dtype_in,dtype_out,size,num_vcores,num_dies,partition,run_type,category,vcore_mhz,start_cycle,end_cycle,total_cycles,kernel_prolog_marker,warmup_cycles,meas_vs_warmup_ratio,file_path,parsed_at
b013c426493bc897,pldm,2026-06-08,vme_mixed_dtype_seq_bf16,,bf16,1,,1,,unknown,vme,1200,687,2490,1803,734,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_mixed_dtype_seq_bf16_1.vcd,2026-06-08T05:40:24+00:00
3bf08b732abbeb7d,pldm,2026-06-08,vme_odd_ncd_bf16,,bf16,1,,1,,unknown,vme,1200,740,1765,1024,788,,,/home/shay.levy/traces/vcd_traces/pldm/20260608/py_asm_vme_odd_ncd_bf16_1.vcd,2026-06-08T05:40:24+00:00
9c162ed2a22963c2,sim,2026-05-23,add_bf16_bf16,bf16,bf16,1024,32,1,1,measurement,elementwise,500,473,1399,926,537,926,1.000,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_add_bf16_bf16_1024_num_vcores_32_partition_1_measurement.vcd,2026-06-07T14:37:32+00:00
be01c50db193ac53,sim,2026-05-23,add_bf16_bf16,bf16,bf16,1024,32,1,1,warmup,elementwise,500,473,1399,926,537,,,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_add_bf16_bf16_1024_num_vcores_32_partition_1_warmup.vcd,2026-06-07T14:37:32+00:00
47c013afe0be60c0,sim,2026-05-23,add_bf16_bf16,bf16,bf16,1024,8,1,1,measurement,elementwise,500,477,1411,934,549,1007,0.928,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_add_bf16_bf16_1024_num_vcores_8_partition_1_measurement.vcd,2026-06-07T14:37:32+00:00
b7711c676308990f,sim,2026-05-23,add_bf16_bf16,bf16,bf16,1024,8,1,1,warmup,elementwise,500,902,1909,1007,1047,,,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_add_bf16_bf16_1024_num_vcores_8_partition_1_warmup.vcd,2026-06-07T14:37:32+00:00
eb9ec7cfe9a0fe84,sim,2026-05-23,cast_down_bf16_bf16,bf16,bf16,1024,32,1,1,measurement,cast,500,410,1319,909,474,996,0.913,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_cast_down_bf16_bf16_1024_num_vcores_32_partition_1_measurement.vcd,2026-06-07T14:37:32+00:00
753378605df68798,sim,2026-05-23,cast_down_bf16_bf16,bf16,bf16,1024,32,1,1,warmup,cast,500,430,1426,996,581,,,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_cast_down_bf16_bf16_1024_num_vcores_32_partition_1_warmup.vcd,2026-06-07T14:37:32+00:00
1ceffb2b51ff5031,sim,2026-05-23,cast_mxfp8_bf16_bf16,bf16,bf16,1024,32,1,1,measurement,cast,500,471,2495,2024,547,2138,0.947,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_cast_mxfp8_bf16_bf16_1024_num_vcores_32_partition_1_measurement.vcd,2026-06-07T14:37:32+00:00
32a1f752a8718993,sim,2026-05-23,cast_mxfp8_bf16_bf16,bf16,bf16,1024,32,1,1,warmup,cast,500,491,2629,2138,681,,,/home/shay.levy/traces/vcd_traces/sim/20260523/vcore_r0_t0_c0_d0_v0_asm_cast_mxfp8_bf16_bf16_1024_num_vcores_32_partition_1_warmup.vcd,2026-06-07T14:37:32+00:00
